"","x","y","Presence","temp_mean_annual","temp_range","prec_annual","tree_cover","pop_dens","aspect","slope","water_bodies"
"11489",506500,1711500,0,26.49002,14.2,1385.983,32,0.1575291,253.3008,0.149546,0.032
"11490",-1471500,3113500,0,25.56367,7.8,3140.948,100,5.723292,230.3558,0.3255316,1.5344
"11491",-1678500,2145500,0,12.58137,10.18637,605.788,1,8.356467,130.1444,10.87619,0.752
"11492",-433500,407500,0,21.04453,23.5,655.0765,6,5.561755,90,0.5013252,0
"11493",730500,1195500,0,24.17761,15.36273,1349.342,55,0.5198071,244.1481,0.7719195,0
"11494",-1585500,3764500,0,24.70996,9.8,2488.782,38,6.444623,213.6901,0.1032913,0.76
"11495",-629500,1300500,0,7.993994,19.48911,591.4113,0,5.33523,268.6678,1.232002,0.0736
"11496",1790500,3147500,0,27.50381,12.20062,1741.953,93,14.01203,64.38451,0.5797904,0.072
"11497",-1145500,4250500,0,26.75,10.7,2268.656,48,1.003757,202.3801,0.131671,0.656
"11498",-699500,1825500,0,21.4271,11.67519,1784.948,98,2.750318,6.869992,3.587759,0.7856
"11499",-1855500,4354500,0,24.94277,8.5,3246.98,84,26.55848,278.163,7.026198,0.2112
"11500",1292500,2967500,0,26.96575,11.05256,1736.426,92,3.614191,259.5625,1.106798,0.952
"11501",2602500,2670500,0,23.43872,12.28748,629.352,0,4.660382,260.3625,0.3850127,0.007999999
"11502",1312500,2016500,0,20.854,13.375,1855.945,0,1.661211,181.1088,1.110175,0
"11503",209500,1219500,0,25.05,16.10061,1270.003,25,0.2084569,71.56505,0.02264814,1.464
"11504",861500,2072500,0,26.84077,14.8,1531.041,10,1.160381,18.43495,0.04529628,1.24
"11505",-551500,4020500,0,21.94231,9.40679,2510.969,99,0.376993,349.4874,1.412856,0.8688
"11506",-1263500,2131500,0,2.59624,10.90166,2036.188,0,133.0408,253.6617,11.60108,0.144
"11507",-250500,1406500,0,23.77424,17.38546,908.3564,36,0.5501841,28.30076,0.1057451,0
"11508",-1641500,1990500,0,21.08538,14.34852,19.82546,0,158.832,280.5257,3.484995,0.3136
"11509",-1265500,4743500,0,28.24849,14.51438,736.8618,55,12.52749,357.7275,3.6077,0
"11510",-1182500,3981500,0,25.0314,9.121552,2924.755,100,0.7559702,177.1376,0.2868344,0.9072
"11511",-753500,2869500,0,25.5543,9.805861,2428.314,100,0,103.2986,0.4047556,0
"11512",-2080500,2998500,0,18.18855,10.61227,2490.513,95,17.20503,113.2957,8.803803,0.9136
"11513",-539500,1601500,0,14.36721,17.64492,786.7594,2,14.22323,353.5302,1.398051,0
"11514",-325500,2851500,0,26.35,8.3,2350.413,100,1.54741,278.1301,0.2025703,0.9104
"11515",956500,953500,0,21.48079,16.41411,1330.363,4,1.842712,107.0205,0.7339834,1.008
"11516",-809500,4655500,0,24.5008,11.3355,1490.859,17,12.08543,38.22145,3.941118,0
"11517",409500,3308500,0,25.81894,9.160499,2281.182,100,0.820765,131.9059,0.3752984,0
"11518",-1310500,3234500,0,25.38635,7.68802,3472.964,99,1.581909,232.3524,0.3165851,1.6384
"11519",-389500,4543500,0,27.15,11.63436,1152.037,5,5.006226,81.8699,0.151928,0
"11520",420500,553500,0,21.18699,19.401,1903.362,78,37.38039,12.99462,0.5732967,0.8128
"11521",625500,1107500,0,23.56099,15.8,1411.398,1,389.2648,107.071,0.9514042,0.512
"11522",-1118500,3709500,0,24.80703,7.975829,3463.593,100,0.7457361,313.4926,0.3850127,0.2
"11523",-1550500,2892500,0,25.75,8.585248,2422.714,100,0.2016373,326.3099,0.1549368,0.496
"11524",1815500,1873500,0,22.55774,13.75528,771.3925,21,22.81303,37.07926,1.175839,0
"11525",186500,3067500,0,26.10271,9.146135,2225.172,100,0,131.6335,0.1724826,0.4
"11526",1227500,2762500,0,26.05171,11.30796,2039.355,42,1.339137,88.43493,1.310901,0.04
"11527",1902500,1618500,0,22.0856,13.85127,1157.945,58,4.774158,232.7367,4.579722,0
"11528",-1026500,3330500,0,25.15,8.4,3596.88,100,0,225,0.01012856,0.016
"11529",1047500,1327500,0,24.02766,15.25471,1399.328,4,4.288891,82.24996,1.221346,0.192
