"","X","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"1023",1023,NA,"PRESENT",-502897.667174253,826001.228851141
"1024",1024,NA,"PRESENT",-2082188.27240342,3474293.46151096
"1025",1025,NA,"PRESENT",-423623.876797412,890503.878156002
"1026",1026,NA,"PRESENT",-2148659.22521945,2870747.99836965
"1027",1027,NA,"PRESENT",-487275.003769407,1006551.8246421
"1028",1028,NA,"PRESENT",-651100.80534873,322113.346610741
"1029",1029,NA,"PRESENT",-513511.83601111,847883.29920763
"1030",1030,NA,"PRESENT",-517143.692858042,831027.262066407
"1031",1031,NA,"PRESENT",-478161.943264586,965802.125700875
"1032",1032,NA,"PRESENT",-478582.757624302,967105.785055188
"1033",1033,NA,"PRESENT",-478160.880824382,965739.91062579
"1034",1034,NA,"PRESENT",-478172.140338756,965817.793213521
"1035",1035,NA,"PRESENT",-479210.197180861,966876.21654608
"1036",1036,NA,"PRESENT",-470911.773316666,963192.708625755
"1037",1037,NA,"PRESENT",-1308850.22410675,2097473.52022754
"1038",1038,NA,"PRESENT",-2082876.95154209,3492801.92432021
"1039",1039,NA,"PRESENT",-470878.694220799,1118348.86271859
"1040",1040,NA,"PRESENT",-2078404.53138034,3492164.5927219
"1041",1041,31448,"PRESENT",-2070054.25167662,3404683.93609072
"1042",1042,31115,"PRESENT",-1741679.35271659,2247538.99262516
"1043",1043,30666,"PRESENT",-948497.281692082,1576160.1591695
"1044",1044,31451,"PRESENT",-2093512.37601964,3461879.52545208
"1045",1045,30841,"PRESENT",-1181662.1655514,1799296.92693344
"1046",1046,4,"PRESENT",-2075332.74918039,3471035.40743735
"1047",1047,6,"PRESENT",-2086468.71971193,3477304.24912165
"1048",1048,1,"PRESENT",-1752993.78758858,2255013.67162484
"1049",1049,8,"PRESENT",-363098.577396038,1613721.68094118
"1050",1050,NA,"PRESENT",-2096181.57165774,3513901.98447113
"1051",1051,NA,"PRESENT",-2080787.66004568,3496184.80872353
"1052",1052,NA,"PRESENT",-583490.862934844,1607501.51230864
"1053",1053,NA,"PRESENT",-527497.382390821,909715.9061725
"1054",1054,NA,"PRESENT",-2084888.59735816,3503093.14158283
"1055",1055,NA,"PRESENT",-428359.684942639,906134.573716779
"1056",1056,NA,"PRESENT",-428344.843885616,906121.810561121
"1057",1057,NA,"PRESENT",-2087384.0257478,3477113.22305673
"1058",1058,NA,"PRESENT",-414120.591014571,1568003.7192082
"1059",1059,NA,"PRESENT",-2082177.0281449,3474305.03613429
"1060",1060,NA,"PRESENT",-2075277.53965517,3473014.72378672
"1061",1061,NA,"PRESENT",-1785627.09359254,4079121.84472061
"1062",1062,NA,"PRESENT",-926620.550555974,1550382.45969354
"1063",1063,NA,"PRESENT",-2077778.57569167,3474255.85217625
"1064",1064,NA,"PRESENT",-2078525.13246008,3494593.83139625
"1065",1065,NA,"PRESENT",-1309330.53483649,2096811.79232297
"1066",1066,NA,"PRESENT",-1308700.80497457,2097418.10529061
"1067",1067,NA,"PRESENT",-511495.553988473,1131421.73583924
"1068",1068,NA,"PRESENT",-542202.405543959,480955.110318069
"1069",1069,NA,"PRESENT",-535091.586392414,1140829.02642859
"1070",1070,NA,"PRESENT",-547311.535936222,472472.099263105
"1071",1071,NA,"PRESENT",-1805701.65772912,4089427.84382965
