"","x","y","Presence"
"349",-1512500,4013500,1
"350",-1511500,4013500,1
"351",-1507500,4013500,1
"352",-1505500,4012500,1
"353",-1486500,4012500,1
"354",-1445500,4011500,1
"355",-1464500,4009500,1
"356",-1333500,4008500,1
"357",-1482500,4006500,1
"358",-1472500,4005500,1
"359",898500,4005500,1
"360",-1493500,4003500,1
"361",-1463500,4002500,1
"362",-1347500,4002500,1
"363",138500,4000500,1
"364",-1493500,3999500,1
"365",-1489500,3999500,1
"366",-1468500,3998500,1
"367",-1488500,3996500,1
"368",-1475500,3996500,1
"369",-1488500,3994500,1
"370",-1483500,3994500,1
"371",-1338500,3994500,1
"372",-1518500,3993500,1
"373",-1462500,3993500,1
"374",-1461500,3993500,1
"375",-1460500,3993500,1
"376",-1458500,3993500,1
"377",-1436500,3993500,1
"378",-1462500,3992500,1
"379",-1840500,3991500,1
"380",-1459500,3991500,1
"381",-1457500,3991500,1
"382",-1454500,3991500,1
"383",-1565500,3990500,1
"384",-1450500,3990500,1
"385",-1452500,3987500,1
"386",-1619500,3986500,1
"387",-1452500,3986500,1
"388",-1375500,3985500,1
"389",-1558500,3984500,1
"390",-1549500,3984500,1
"391",-1337500,3980500,1
"392",-1934500,3979500,1
"393",-1933500,3979500,1
"394",-1347500,3979500,1
"395",-1597500,3978500,1
"396",-1538500,3978500,1
"397",-1373500,3978500,1
"398",-1328500,3973500,1
"399",-1594500,3972500,1
"400",-1537500,3971500,1
"401",-1435500,3971500,1
"402",-1480500,3969500,1
"403",-1453500,3969500,1
"404",-1996500,3966500,1
"405",-1995500,3966500,1
"406",-1998500,3965500,1
"407",-1996500,3965500,1
"408",-1992500,3965500,1
"409",-1626500,3965500,1
"410",-1559500,3965500,1
"411",-1454500,3965500,1
"412",-1999500,3964500,1
"413",-1621500,3964500,1
"414",-1997500,3963500,1
"415",-1886500,3963500,1
"416",-1626500,3963500,1
"417",-1624500,3963500,1
"418",-1623500,3963500,1
"419",-1495500,3963500,1
"420",-1990500,3962500,1
"421",-1989500,3962500,1
"422",-1624500,3962500,1
"423",-1572500,3962500,1
"424",-1571500,3962500,1
"425",-1623500,3961500,1
"426",-1622500,3961500,1
"427",-1566500,3961500,1
"428",-1465500,3961500,1
"429",-1624500,3960500,1
"430",-1568500,3959500,1
"431",-1565500,3959500,1
"432",-1461500,3959500,1
"433",-1566500,3958500,1
"434",-1559500,3957500,1
"435",-1561500,3956500,1
"436",727500,3954500,1
"437",842500,3953500,1
"438",-1474500,3949500,1
"439",-1880500,3948500,1
"440",765500,3937500,1
"441",-1505500,3936500,1
"442",838500,3935500,1
"443",-1873500,3934500,1
"444",-1875500,3930500,1
"445",-1931500,3913500,1
"446",-1868500,3909500,1
"447",-995500,3898500,1
"448",-1884500,3897500,1
"449",801500,3891500,1
"450",-2015500,3832500,1
"451",-1599500,3822500,1
"452",-1597500,3822500,1
"453",-1599500,3821500,1
"454",-1817500,3806500,1
"455",-2002500,3744500,1
"456",-1889500,3743500,1
"457",-1913500,3740500,1
"458",-1873500,3736500,1
"459",-1896500,3733500,1
"460",-1872500,3731500,1
"461",-1860500,3727500,1
"462",-1940500,3725500,1
"463",-1856500,3725500,1
"464",-1699500,3717500,1
"465",-1808500,3715500,1
"466",-1797500,3714500,1
"467",-1701500,3714500,1
"468",-1844500,3713500,1
"469",-1843500,3712500,1
"470",-1843500,3711500,1
"471",-1803500,3710500,1
"472",-1954500,3706500,1
"473",-1870500,3674500,1
"474",-1869500,3674500,1
"475",-2000500,3663500,1
"476",-1913500,3659500,1
"477",-1891500,3650500,1
"478",-1890500,3649500,1
"479",-1939500,3646500,1
"480",-1929500,3640500,1
"481",-1928500,3640500,1
"482",-1927500,3639500,1
"483",-1925500,3639500,1
"484",-1931500,3638500,1
"485",-1928500,3638500,1
"486",-2138500,3637500,1
"487",-1939500,3632500,1
"488",-2139500,3628500,1
"489",-1958500,3612500,1
"490",-1962500,3611500,1
"491",-1687500,3610500,1
"492",-1689500,3609500,1
"493",-1258500,3609500,1
"494",-1685500,3608500,1
"495",-1867500,3606500,1
"496",-1674500,3603500,1
"497",-1674500,3601500,1
"498",-2026500,3600500,1
"499",-2015500,3588500,1
"500",-2201500,3584500,1
"501",-2201500,3583500,1
"502",-2197500,3583500,1
"503",-2201500,3582500,1
"504",-2200500,3582500,1
"505",-2198500,3582500,1
"506",-2200500,3581500,1
"507",-2199500,3581500,1
"508",-2198500,3581500,1
"509",-2199500,3580500,1
"510",-2198500,3580500,1
"511",-2196500,3580500,1
"512",-2200500,3579500,1
"513",-2199500,3579500,1
"514",-2198500,3579500,1
"515",-2197500,3579500,1
"516",-2196500,3579500,1
"517",-2197500,3578500,1
"518",-1669500,3578500,1
"519",-1668500,3576500,1
"520",-2076500,3571500,1
"521",-2039500,3568500,1
"522",-2074500,3566500,1
"523",-1989500,3565500,1
"524",-2108500,3564500,1
"525",-2010500,3561500,1
"526",-2168500,3559500,1
"527",-2156500,3556500,1
"528",-2001500,3556500,1
"529",-2266500,3550500,1
"530",-1753500,3544500,1
"531",-2126500,3537500,1
"532",-1819500,3537500,1
"533",-1417500,3535500,1
"534",-2129500,3534500,1
"535",-2127500,3534500,1
"536",-1733500,3504500,1
"537",-2068500,3497500,1
"538",-1859500,3497500,1
"539",-1828500,3497500,1
"540",-1872500,3492500,1
"541",-2092500,3490500,1
"542",-2144500,3486500,1
"543",-1872500,3476500,1
"544",-2078500,3475500,1
"545",-1104500,3471500,1
"546",-2036500,3468500,1
"547",-1823500,3443500,1
"548",-1981500,3428500,1
"549",-1898500,3424500,1
"550",-1089500,3385500,1
"551",-1083500,3383500,1
"552",-2045500,3379500,1
"553",-2045500,3378500,1
"554",-2041500,3377500,1
"555",-2050500,3375500,1
"556",-2005500,3340500,1
"557",-2048500,3310500,1
"558",-2050500,3294500,1
"559",-1122500,3197500,1
"560",-1098500,3192500,1
"561",1040500,2971500,1
"562",1099500,2949500,1
"563",91500,2640500,1
"564",-1698500,2639500,1
"565",435500,2615500,1
"566",444500,2604500,1
"567",-1075500,2521500,1
"568",-891500,2509500,1
"569",-636500,2437500,1
"570",-1210500,2287500,1
"571",-952500,2253500,1
"572",-1062500,2237500,1
"573",-1072500,2233500,1
"574",-1069500,2228500,1
"575",-912500,2217500,1
"576",-1212500,2181500,1
"577",-104500,2143500,1
"578",-1199500,2140500,1
"579",-636500,2107500,1
"580",-636500,2106500,1
"581",-1216500,2091500,1
"582",-1127500,2074500,1
"583",-866500,2046500,1
