"","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"3915",NA,"PRESENT",-71.966385,-13.480418
"3916",NA,"PRESENT",-65.25566,-22.254808
"3917",NA,"PRESENT",-69.49273,-18.16911
"3918",NA,"PRESENT",-78.44474,-1.470537
"3919",NA,"PRESENT",-65.75665,-26.740934
"3920",NA,"PRESENT",-64.57425,-21.444042
"3921",NA,"PRESENT",-78.15293,-0.556761
"3922",NA,"PRESENT",-74.413895,-14.668096
"3923",NA,"PRESENT",-66.47191,-17.230864
"3924",NA,"PRESENT",-68.72553,-15.6518
"3925",NA,"PRESENT",-71.99468,-15.573413
"3926",NA,"PRESENT",-78.24329,-0.299098
"3927",NA,"PRESENT",-68.075714,-22.924875
"3928",NA,"PRESENT",-64.96878,-23.569326
"3929",NA,"PRESENT",-65.61793,-28.476336
"3930",NA,"PRESENT",-64.888214,-21.467127
"3931",NA,"PRESENT",-78.0586,-0.392628
"3932",NA,"PRESENT",-71.905846,-15.61109
"3933",NA,"PRESENT",-75.41,-12.71
"3934",NA,"PRESENT",-64.8968,-21.4879
"3935",NA,"PRESENT",-75.53104,5.027759
"3936",100,"PRESENT",-65.55258,-25.152622
"3937",100,"PRESENT",-78.184891,-0.339201
"3938",100,"PRESENT",-78.225517,-0.509576
"3939",100,"PRESENT",-78.318644,-0.453419
"3940",31451,"PRESENT",-78.029888,-0.546959
"3941",NA,"PRESENT",-64.41881,-24.260221
"3942",NA,"PRESENT",-78.34639,-0.435
"3943",NA,"PRESENT",-75.43259,4.83836
"3944",NA,"PRESENT",-77.97971,0.707098
"3945",NA,"PRESENT",-75.340324,4.939982
"3946",NA,"PRESENT",-65.489395,-24.170847
"3947",NA,"PRESENT",-65.43406,-24.328321
"3948",NA,"PRESENT",-65.6603,-26.963037
"3949",NA,"PRESENT",-65.72271,-26.800365
"3950",NA,"PRESENT",-65.66032,-26.963045
"3951",NA,"PRESENT",-65.722725,-26.800365
"3952",NA,"PRESENT",-65.72887,-26.77588
"3953",NA,"PRESENT",-65.72886,-26.775885
"3954",NA,"PRESENT",-65.48048,-24.018213
"3955",NA,"PRESENT",-69.43296,-14.251339
"3956",NA,"PRESENT",-69.42518,-14.275846
"3957",NA,"PRESENT",-64.41941,-24.26241
"3958",NA,"PRESENT",-69.49798,-14.43597
"3959",NA,"PRESENT",-69.41178,-14.240611
"3960",NA,"PRESENT",-65.8793,-28.214792
"3961",NA,"PRESENT",-64.58964,-24.572502
"3962",NA,"PRESENT",-64.58954,-24.573912
"3963",NA,"PRESENT",-73.96833,10.898317
"3964",NA,"PRESENT",-81.04603,-5.954474
"3965",NA,"PRESENT",-75.48305,4.641232
"3966",NA,"PRESENT",-78.47706,-0.68148
"3967",NA,"PRESENT",-65.355774,-23.200014
"3968",NA,"PRESENT",-75.40814,-15.052813
"3969",NA,"PRESENT",-75.553604,4.655833
"3970",NA,"PRESENT",-75.48139,5.011517
"3971",30870,"PRESENT",-71.836574,-15.70368
"3972",31451,"PRESENT",-78.341711,-0.52432
"3973",NA,"PRESENT",-75.44122,4.916899
"3974",NA,"PRESENT",-76.58432,-11.740992
"3975",NA,"PRESENT",-76.62637,-11.832406
"3976",NA,"PRESENT",-65.25501,-19.06439
"3977",NA,"PRESENT",-75.823074,-12.121637
"3978",NA,"PRESENT",-64.92542,-25.857988
"3979",NA,"PRESENT",-65.43706,-24.327541
"3980",NA,"PRESENT",-65.47825,-24.342138
"3981",NA,"PRESENT",-76.62383,-11.802224
"3982",NA,"PRESENT",-78.21437,-0.308216
"3983",NA,"PRESENT",-77.721115,-9.026026
"3984",NA,"PRESENT",-78.47387,-0.613501
"3985",NA,"PRESENT",-75.691075,-12.286862
"3986",NA,"PRESENT",-77.33067,-8.027871
"3987",NA,"PRESENT",-77.305951,-8.036009
"3988",NA,"PRESENT",-77.40559,-7.940297
"3989",NA,"PRESENT",-78.078606,-0.551978
"3990",NA,"PRESENT",-76.522354,-11.766819
"3991",NA,"PRESENT",-78.17429,-0.551625
"3992",NA,"PRESENT",-65.693306,-26.95193
"3993",NA,"PRESENT",-77.395744,-9.540743
"3994",NA,"PRESENT",-78.15644,-0.551609
"3995",NA,"PRESENT",-77.450784,-9.373077
