"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"220",-72.305069,6.708562,NA,"PRESENT"
"221",-79.742839,-3.590797,31422,"PRESENT"
"222",-78.244502,-0.360876,31451,"PRESENT"
"223",-78.269511,-0.276957,31451,"PRESENT"
"224",-78.117525,0.275636,68218,"PRESENT"
"225",-78.19441,0.286491,68218,"PRESENT"
"226",-78.660751,0.155496,31451,"PRESENT"
"227",-78.250907,-0.259743,31451,"PRESENT"
"228",-73.12786,6.06458,NA,"PRESENT"
"229",-73.14839,6.01944,NA,"PRESENT"
"230",-72.56098,5.59752,NA,"PRESENT"
"231",-74.681363,3.790184,31418,"PRESENT"
"232",-73.06389,6.03597,NA,"PRESENT"
"233",-73.18428,6.07936,NA,"PRESENT"
"234",-76.953054,0.963953,31449,"PRESENT"
"235",-77.989826,0.271561,31451,"PRESENT"
"236",-78.085726,0.289603,68218,"PRESENT"
"237",-73.17228,5.98611,NA,"PRESENT"
"238",-73.745944,4.562167,NA,"PRESENT"
"239",-75.976542,3.242856,31425,"PRESENT"
"240",-72.4077,6.2208,NA,"PRESENT"
"241",-72.4079,6.2202,NA,"PRESENT"
"242",-78.211497,-0.558552,31451,"PRESENT"
"243",-73.75533,4.548862,31403,"PRESENT"
"244",-78.678449,0.114286,31451,"PRESENT"
"245",-78.771531,0.050534,31451,"PRESENT"
"246",-78.759512,0.067984,31451,"PRESENT"
"247",-78.742083,0.048099,31451,"PRESENT"
"248",-78.705749,0.061758,31451,"PRESENT"
"249",-78.780004,0.148143,31451,"PRESENT"
"250",-73.701938,4.756248,31398,"PRESENT"
"251",-72.43222,5.51919,1562,"PRESENT"
"252",-75.99861,1.48417,NA,"PRESENT"
"253",-75.99,1.46194,NA,"PRESENT"
"254",-75.9644,2.7218,NA,"PRESENT"
"255",-76.8814,1.5825,NA,"PRESENT"
"256",-78.600044,0.126911,31451,"PRESENT"
"257",-78.779756,0.171961,31451,"PRESENT"
"258",-78.030574,0.336628,68218,"PRESENT"
"259",-78.171881,0.252391,68218,"PRESENT"
"260",-78.011002,0.5198,31451,"PRESENT"
"261",-73.09372,6.05558,NA,"PRESENT"
"262",-72.5898,5.8026,NA,"PRESENT"
"263",-72.5212,5.9106,NA,"PRESENT"
"264",-75.9231,3.9027,NA,"PRESENT"
"265",-75.7408,3.9449,NA,"PRESENT"
"266",-76.0922,1.6111,NA,"PRESENT"
"267",-76.0835,1.6168,NA,"PRESENT"
"268",-76.1152,1.6227,NA,"PRESENT"
"269",-76.3548,2.3467,NA,"PRESENT"
"270",-79.734998,-3.580299,31422,"PRESENT"
"271",-73.712918,4.532654,31403,"PRESENT"
"272",-76.37696,2.36709,NA,"PRESENT"
"273",-75.99278,1.47806,NA,"PRESENT"
"274",-72.4655,7.4305,NA,"PRESENT"
"275",-72.465,7.4303,NA,"PRESENT"
"276",-72.4642,7.4296,NA,"PRESENT"
"277",-72.4653,7.4333,NA,"PRESENT"
"278",-72.4655,7.4338,NA,"PRESENT"
"279",-72.4659,7.4343,NA,"PRESENT"
"280",-72.3559,6.7134,NA,"PRESENT"
"281",-72.358,6.7184,NA,"PRESENT"
"282",-72.3591,6.7185,NA,"PRESENT"
"283",-72.3535,6.7208,NA,"PRESENT"
"284",-72.3376,7.3259,NA,"PRESENT"
"285",-75.7115,2.9464,NA,"PRESENT"
"286",-78.654637,-0.130898,31451,"PRESENT"
"287",-78.759578,0.142135,31451,"PRESENT"
"288",-73.478358,4.891175,NA,"PRESENT"
"289",-76.35676,2.36817,NA,"PRESENT"
"290",-76.35425,2.37489,NA,"PRESENT"
"291",-76.40429,2.40328,NA,"PRESENT"
"292",-72.3311,7.3274,NA,"PRESENT"
"293",-72.3292,7.3285,NA,"PRESENT"
"294",-72.326,7.3288,NA,"PRESENT"
"295",-72.3228,7.32,NA,"PRESENT"
"296",-76.1074,1.5905,NA,"PRESENT"
"297",-76.0852,1.6183,NA,"PRESENT"
"298",-76.9385,1.5123,NA,"PRESENT"
"299",-75.346832,-11.359317,NA,"PRESENT"
"300",-75.34645,-11.30368,NA,"PRESENT"
"301",-75.9741,3.570944,NA,"PRESENT"
"302",-78.141216,0.217317,68218,"PRESENT"
"303",-78.107737,0.361711,68218,"PRESENT"
"304",-75.913944,3.601306,NA,"PRESENT"
"305",-75.957722,3.570806,NA,"PRESENT"
"306",-75.974139,3.571667,NA,"PRESENT"
"307",-75.955722,3.584194,NA,"PRESENT"
"308",-75.939694,3.593861,NA,"PRESENT"
"309",-75.969528,3.572417,NA,"PRESENT"
"310",-75.912889,3.599417,NA,"PRESENT"
"311",-75.973194,3.570944,NA,"PRESENT"
"312",-76.8113,1.6905,NA,"PRESENT"
"313",-75.889941,5.535894,31379,"PRESENT"
"314",-76.018031,1.937145,31442,"PRESENT"
"315",-75.854978,-9.774358,NA,"PRESENT"
"316",-73.987053,4.761162,31398,"PRESENT"
"317",-75.209787,7.082879,356919,"PRESENT"
"318",-75.840028,3.797722,NA,"PRESENT"
"319",-75.833389,3.878556,NA,"PRESENT"
"320",-75.8529,3.84942,NA,"PRESENT"
"321",-75.855639,3.829778,NA,"PRESENT"
"322",-75.833667,3.888889,NA,"PRESENT"
"323",-75.833556,3.812444,NA,"PRESENT"
"324",-75.852333,3.829472,NA,"PRESENT"
"325",-75.832306,3.892167,NA,"PRESENT"
"326",-75.857889,3.84175,NA,"PRESENT"
"327",-75.857389,3.823361,NA,"PRESENT"
"328",-75.832889,3.884667,NA,"PRESENT"
"329",-75.839639,3.801611,NA,"PRESENT"
"330",-73.7279,4.9144,NA,"PRESENT"
"331",-76.22752,1.71338,NA,"PRESENT"
"332",-76.50172,-9.301988,NA,"PRESENT"
"333",-76.504718,-9.304143,NA,"PRESENT"
"334",-76.502435,-9.303593,NA,"PRESENT"
"335",-76.624412,-9.221013,NA,"PRESENT"
"336",-76.501529,-9.302172,NA,"PRESENT"
"337",-75.898806,3.719472,NA,"PRESENT"
"338",-78.117036,0.220104,68218,"PRESENT"
"339",-78.115173,0.244852,68218,"PRESENT"
"340",-78.130963,0.394802,68218,"PRESENT"
"341",-78.196284,0.210054,68218,"PRESENT"
"342",-78.024801,0.278433,68218,"PRESENT"
"343",-76.04625,3.466889,NA,"PRESENT"
"344",-76.0025,3.630806,NA,"PRESENT"
"345",-75.788028,3.724917,NA,"PRESENT"
"346",-76.009806,3.637139,NA,"PRESENT"
"347",-75.775389,3.730333,NA,"PRESENT"
"348",-75.960361,3.634833,NA,"PRESENT"
"349",-76.054722,3.464944,NA,"PRESENT"
"350",-75.780056,3.737861,NA,"PRESENT"
"351",-75.896389,3.715167,NA,"PRESENT"
"352",-76.017667,3.638361,NA,"PRESENT"
"353",-75.955561,3.636611,NA,"PRESENT"
"354",-76.057833,3.451917,NA,"PRESENT"
"355",-75.779389,3.734833,NA,"PRESENT"
"356",-76.012333,3.630306,NA,"PRESENT"
"357",-75.779139,3.729639,NA,"PRESENT"
"358",-76.051389,3.463611,NA,"PRESENT"
