"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"226",-48.3092128,-24.3117756,NA,"PRESENT"
"227",-48.1800116,-24.2075757,NA,"PRESENT"
"228",-48.4129135,-24.3081753,NA,"PRESENT"
"229",-48.4185134,-24.2942753,NA,"PRESENT"
"230",-74.367485,6.868905,31337,"PRESENT"
"231",-74.287063,6.680083,31344,"PRESENT"
"232",-74.26627,6.701522,31344,"PRESENT"
"233",-47.9710098,-24.0912759,NA,"PRESENT"
"234",-48.5907151,-24.4396752,NA,"PRESENT"
"235",-47.9748097,-24.0611759,NA,"PRESENT"
"236",-48.3651131,-24.2920754,NA,"PRESENT"
"237",-76.376291,7.043478,31331,"PRESENT"
"238",-74.235896,6.641369,31344,"PRESENT"
"239",-72.911978,4.457879,NA,"PRESENT"
"240",-72.73182,4.44921,NA,"PRESENT"
"241",-79.172257,0.609124,NA,"PRESENT"
"242",-79.197043,0.659746,NA,"PRESENT"
"243",-62.409662,-21.522859,2936,"PRESENT"
"244",-62.39538,-21.489433,15,"PRESENT"
"245",-74.987291,6.38751,31356,"PRESENT"
"246",-59.622378,-26.645508,29822,"PRESENT"
"247",-76.325841,-0.51008,2000,"PRESENT"
"248",-48.094968,-21.072947,30415,"PRESENT"
"249",-48.162814,-21.07332,30415,"PRESENT"
"250",-48.194629,-21.167349,30415,"PRESENT"
"251",-48.079865,-21.053314,30415,"PRESENT"
"252",-48.014655,-21.140756,30415,"PRESENT"
"253",-73.74327,7.08398,NA,"PRESENT"
"254",-53.01296,5.23079,29901,"PRESENT"
"255",-74.891088,6.246027,31356,"PRESENT"
"256",-47.553936,-22.206671,30298,"PRESENT"
"257",-78.358208,-0.333298,31451,"PRESENT"
"258",-46.904406,-22.324158,30298,"PRESENT"
"259",-70.704,5.4407,NA,"PRESENT"
"260",-70.803,5.2902,NA,"PRESENT"
"261",-73.15,6.003,NA,"PRESENT"
"262",-73.406327,3.523247,NA,"PRESENT"
"263",-73.45325,3.5674,NA,"PRESENT"
"264",-53.39897,3.91587,65138,"PRESENT"
"265",-53.10059,4.52924,64240,"PRESENT"
"266",-47.92852,-15.80636,30855,"PRESENT"
"267",-78.066788,-1.404179,NA,"PRESENT"
"268",-74.278167,5.948944,NA,"PRESENT"
"269",-74.275667,5.946528,NA,"PRESENT"
"270",-74.278917,5.945278,NA,"PRESENT"
"271",-73.409839,3.551472,NA,"PRESENT"
"272",-75.422283,5.378033,5,"PRESENT"
"273",-77.21234,4.74885,NA,"PRESENT"
"274",-78.066563,-1.404176,8,"PRESENT"
"275",-71.772,5.221,NA,"PRESENT"
"276",-75.4572,4.64805,NA,"PRESENT"
"277",-53.98321,4.96476,74011,"PRESENT"
"278",-68.333927,-14.189209,208,"PRESENT"
"279",-56.613339,-16.443591,30810,"PRESENT"
"280",-75.5558,4.4822,NA,"PRESENT"
"281",-55.818874,-20.149632,30508,"PRESENT"
"282",-75.575434,7.196882,NA,"PRESENT"
"283",-72.884,4.502,NA,"PRESENT"
"284",-77.458789,-1.020963,31448,"PRESENT"
"285",-40.15347,-19.096687,30598,"PRESENT"
"286",-73.859211,6.986076,NA,"PRESENT"
"287",-72.44056,-0.55063,NA,"PRESENT"
"288",-70.726719,6.778511,NA,"PRESENT"
"289",-54.27051,4.83035,40985,"PRESENT"
"290",-52.39757,4.74831,5000,"PRESENT"
"291",-52.51849,3.94175,90150,"PRESENT"
"292",-71.707907,5.231844,31384,"PRESENT"
"293",-75.50229,6.24581,5,"PRESENT"
"294",-75.99,1.46194,NA,"PRESENT"
"295",-75.9825,1.46306,NA,"PRESENT"
"296",-76.29438,0.50526,NA,"PRESENT"
"297",-77.10729,0.6476,NA,"PRESENT"
"298",-79.197977,0.641933,NA,"PRESENT"
"299",-73.409921,3.551567,NA,"PRESENT"
"300",-52.51299,4.46443,42776,"PRESENT"
"301",-59.153967,-9.175692,31254,"PRESENT"
"302",-61.148837,-28.783461,29582,"PRESENT"
"303",-40.220833,-19.624167,NA,"PRESENT"
"304",-76.24306,1.13389,NA,"PRESENT"
"305",-75.99278,1.47806,NA,"PRESENT"
"306",-79.160619,0.610196,NA,"PRESENT"
