"","x","y","Presence","dem","temp_mean_annual","temp_mean_diurnal","prec_annual","canopy_height","pop_dens","aspect","slope","water_bodies"
"412",-1999500,3964500,1,55,25.25,4.09769868850708,6553.5,32,83.8129959106445,52.9071617126465,0.368123114109039,0.537600040435791
"413",-1621500,3964500,1,507,24.6031246185303,7.89043045043945,5404.4794921875,21,7.90330696105957,117.103866577148,2.04269480705261,0.211199998855591
"414",-1997500,3963500,1,50,25.25,4.147629737854,6553.5,25,83.8130035400391,49.9697418212891,0.233834639191628,0.452800005674362
"415",-1886500,3963500,1,2664,12.8316402435303,7.73721551895142,4032.29809570312,34,157.843948364258,326.272705078125,6.09100961685181,0.335999995470047
"416",-1626500,3963500,1,674,23.487232208252,7.7149019241333,5490.919921875,14,7.90330696105957,110.808090209961,5.88637542724609,0
"417",-1624500,3963500,1,589,24.1198482513428,7.78179693222046,5461.05322265625,18,7.90330696105957,76.8796005249023,1.95539009571075,0
"418",-1623500,3963500,1,563,24.243896484375,7.84096527099609,5435.40869140625,20,7.90330696105957,58.0829925537109,1.47625589370728,3.09228181526611e-14
"419",-1495500,3963500,1,230,25.58154296875,7.29648590087891,2901.84252929688,9,4.86407899856567,345.379119873047,0.680920481681824,0.550399959087372
"420",-1990500,3962500,1,42,25.25,4.30000019073486,6553.5,29,83.8130035400391,98.1301040649414,0.0506427809596062,0.711999952793121
"421",-1989500,3962500,1,42,25.2337646484375,4.31160259246826,6552.76416015625,26,83.8130035400391,10.6196556091309,0.23317563533783,0.775999963283539
"422",-1624500,3962500,1,584,24.0744132995605,7.83737945556641,5394.90625,12,7.90330696105957,111.412971496582,1.56897878646851,0
"423",-1572500,3962500,1,298,25.3500003814697,8.19999980926514,4644.7109375,12,4.86407947540283,180,0.171886816620827,0
"424",-1571500,3962500,1,297,25.3500003814697,8.18286228179932,4670.3466796875,8,4.86407947540283,104.534454345703,0.199765592813492,0
"425",-1623500,3961500,1,585,24.2364501953125,7.93264007568359,5307.5419921875,18,7.90330743789673,178.818817138672,1.38944554328918,0.159999996423721
"426",-1622500,3961500,1,528,24.2229976654053,7.97853374481201,5288.10791015625,23,7.90330743789673,112.344764709473,1.26197040081024,0.263999998569489
"427",-1566500,3961500,1,248,25.6099128723145,8.05682945251465,4621.9326171875,14,4.86407947540283,22.2490234375,0.340472280979156,0.127999991178513
"428",-1465500,3961500,1,212,25.4746341705322,7.19999980926514,2994.79858398438,9,4.86407947540283,190.304840087891,0.320289820432663,0.228799998760223
"429",-1624500,3960500,1,500,24.3652839660645,7.92035675048828,5229.77294921875,21,7.90330696105957,132.614059448242,2.91703295707703,0.319999992847443
"430",-1568500,3959500,1,289,25.4307861328125,8.09237384796143,4591.6826171875,15,4.86407899856567,143.880661010742,0.65606427192688,1.81898936288828e-14
"431",-1565500,3959500,1,276,25.5025386810303,8,4578.42138671875,12,4.86407947540283,94.8440017700195,0.424063295125961,0.19200000166893
"432",-1461500,3959500,1,199,25.5499992370605,7.19999980926514,3010.9423828125,14,4.86407899856567,217.647613525391,0.316585123538971,0.439999997615814
"433",-1566500,3958500,1,266,25.498950958252,8,4544.0224609375,15,4.86407947540283,190.738891601562,0.845536768436432,0.127999991178513
"434",-1559500,3957500,1,254,25.6250972747803,7.85180902481079,4428.94775390625,11,4.86407947540283,329.534454345703,0.282510071992874,0.351999998092651
"435",-1561500,3956500,1,253,25.5799312591553,7.8931450843811,4434.14697265625,9,4.86199712753296,348.690063476562,0.182594567537308,0.268799990415573
"436",727500,3954500,1,188,25.9500007629395,8.39999961853027,2318.55712890625,40,0.913021743297577,108.434951782227,0.24912802875042,0.0303999986499548
"437",842500,3953500,1,171,25.6454582214355,8,2445.06958007812,38,0.249781414866447,266.583404541016,0.961322903633118,1.38240003585815
"438",-1474500,3949500,1,191,25.552173614502,7.30000019073486,2957.4443359375,13,4.86407899856567,153.434951782227,0.12811703979969,1.41120004653931
"439",-1880500,3948500,1,2681,12.0420656204224,8.21507358551025,3643.94482421875,26,150.694702148438,116.290473937988,19.287425994873,0
"440",765500,3937500,1,229,25.6319580078125,8.12882900238037,2322.671875,37,0.913021743297577,204.443954467773,0.0865383744239807,0.0720000043511391
"441",-1505500,3936500,1,188,25.7611808776855,7.30000019073486,2843.84155273438,19,4.8399338722229,337.2490234375,0.240751668810844,0.856000006198883
"442",838500,3935500,1,146,25.707202911377,8.00782775878906,2508.6318359375,41,0.249781414866447,64.3589935302734,0.397208780050278,0.302400022745132
"443",-1873500,3934500,1,2961,11.9684572219849,8.50518035888672,3016.90380859375,33,359.475402832031,260.053344726562,17.2849559783936,0
"444",-1875500,3930500,1,3526,9.18806171417236,8.31784629821777,3034.12768554688,19,359.475433349609,330.170288085938,14.1060361862183,0
"445",-1931500,3913500,1,1126,21.3312740325928,7.18558359146118,1333.78295898438,16,4986.89306640625,60.7807540893555,5.79015302658081,0.55840003490448
"446",-1868500,3909500,1,3864,7.17868661880493,7.81098699569702,3235.41381835938,7,11.3192014694214,328.594848632812,1.59392809867859,0
"447",-995500,3898500,1,144,24.9557609558105,6.84907245635986,3222.30444335938,14,0.800778806209564,74.7448806762695,0.0816589966416359,0.308799982070923
"448",-1884500,3897500,1,2140,16.3068351745605,6.90000009536743,2344.03784179688,20,166.304977416992,322.390411376953,2.439528465271,0
"449",801500,3891500,1,209,25.602294921875,8.30000019073486,2401.9169921875,35,0.249781399965286,281.852996826172,0.592737555503845,0
"450",-2015500,3832500,1,51,25.3694343566895,4,6553.5,17,9.14057731628418,3.2892427444458,0.62409508228302,0.287999987602234
"451",-1599500,3822500,1,332,24.5271968841553,7.19999980926514,3156.18041992188,14,6.44462394714355,119.415596008301,1.54535067081451,0.912000000476837
"452",-1597500,3822500,1,273,24.9259281158447,7.19999980926514,3046.17724609375,16,6.44462394714355,75.963752746582,1.59418523311615,0.871999979019165
"453",-1599500,3821500,1,304,24.7189445495605,7.19999980926514,3110.40209960938,12,6.44462394714355,91.4320983886719,2.29132509231567,1.01600003242493
"454",-1817500,3806500,1,1038,22.5093269348145,7.90000009536743,1696.73413085938,12,37.5872116088867,196.756301879883,7.53308296203613,0.569599986076355
"455",-2002500,3744500,1,2211,14.8052492141724,7.19061803817749,2977.53002929688,23,52.3166770935059,114.958679199219,18.1099014282227,0.219200000166893
"456",-1889500,3743500,1,2431,12.6407957077026,7.58427715301514,2528.70751953125,30,29.4089069366455,73.7261276245117,5.98417568206787,0.046399999409914
"457",-1913500,3740500,1,2772,11.7680177688599,7.40000009536743,2073.73364257812,25,3.83796954154968,177.495178222656,9.25951194763184,0.23199999332428
"458",-1873500,3736500,1,2093,14.4519290924072,8.09707832336426,3104.76098632812,33,280.885437011719,62.9032745361328,7.21024227142334,0
"459",-1896500,3733500,1,3097,9.50412559509277,7.69961547851562,3151.08154296875,32,6.57693433761597,123.690071105957,5.50905179977417,0
"460",-1872500,3731500,1,2225,13.4880619049072,8.142333984375,4278.8603515625,28,226.302841186523,7.84469604492188,6.47890996932983,0
"461",-1860500,3727500,1,1972,14.8846187591553,8.19999980926514,4584.36669921875,36,80.5008544921875,359.824249267578,4.65932989120483,0
"462",-1940500,3725500,1,3323,9.53374004364014,7.48434162139893,1994.11193847656,20,9.00869941711426,124.278030395508,1.74160492420197,0
"463",-1856500,3725500,1,2132,13.3580074310303,8.10000038146973,4981.0029296875,31,80.5008544921875,334.983093261719,9.85984992980957,0
"464",-1699500,3717500,1,275,24.8830814361572,6.80000019073486,4311.138671875,17,3.18698120117188,351.158172607422,0.326161235570908,0.216000005602837
"465",-1808500,3715500,1,248,25.101734161377,7.5,3720.44848632812,11,7.23767423629761,87.7093887329102,0.179191902279854,1.15200006961823
"466",-1797500,3714500,1,237,25.2387943267822,7.64342260360718,3410.77612304688,11,91.6508636474609,277.352386474609,0.447714418172836,0.948800027370453
